Newton 88,923 Board of Aldermen adopted 11/9/09 7/1/2010
Norfolk 11,662 Town Meeting adopted 12/5/17 1/12018
North Adams 12,961 City Council adopted 10/26/10 7/1/2011
North Andover 30,915 Town Meeting adopted 5/10/16 1/1/2017
North Attleborough 30,834 Town Council adopted 10/16/19 1/1/2020
Northampton 29,571 City Council adopted 4/15/10 1/1/2011
Northborough 15,741 Town Meeting adopted 4/24/17 7/1/2017
Northbridge 16,335 Town Meeting adopted 10/25/16 1/1/2017
Northfield 2,866 Town Meeting adopted 5/7/12 7/1/2013
Norton 19,202 Town Meeting adopted 5/15/19 7/1/2019
Norwell 11,351 Town Meeting adopted 5/5/15 1/1/2016
Norwood 31,611 Town Meeting adopted 5/15/20 7/1/2019
Oak Bluffs 5,341 Town Meeting adopted 5/15/21 7/1/2021
Orange 7,569 Town Meeting adopted 10/26/17 1/1/2018
Orleans 6,307 Town Meeting adopted 5/7/18 7/1/2018
Oxford 13,347 Town Meeting adoped 5/1/19 1/1/2020
Palmer 12,448 Town Council adopted 5/10/10 1/1/2011
Pelham 1,280 Town Meeting adopted 5/5/12 1/1/2013
Pembroke 18,361 Town Meeting adopted 10/19/10 7/1/2011
Pepperell 11,604 Town Meeting adopted 5/4/15 1/1/2016
Peru 814 Town Meeting adopted 5/12/18 7/1/2018
Petersham 1,194 Town Meeting adopted 6/4/12 7/1/2013
Pittsfield 43,927 City Council adopted 4/14/10 7/1/2011
Plainfield 633 Town Meeting adopted 9/13/16 1/1/2017
Plainville 9,945 Town Meeting adopted 6/7/17 7/1/2017
Plymouth 61,217 Town Meeting adopted 8/18/20 1/1/2021
Plympton 2,930 Town Meeting adopted 5/16/12 1/1/2013
Princeton 3,495 Town Meeting adopted 6/27/20 7/1/2020
Provincetown 3,664 Town Meeting adopted 10/24/2011 7/1/2012
Quincy 101,636 City Council adopted 8/16/10 7/1/2011
Reading 25,518 Special Town Meeting adopted 11/9/20 1/1/2021
Rehoboth 12,502 Town Meeting adopted 5/28/19 7/1/2019
Revere 62,186 City Council adopted 3/14/11 1/1/2012
Richmond 1,407 Town Meeting adopted 5/23/12 1/1/2013
Rochester 5,717 Special Town Meeting adopted 11/19/18 1/1/2019
Rockland 17,803 Town Meeting adopted 5/7/12 1/1/2013
Rockport 6,992 Town Meeting adopted 4/30/16 1/1/2017
Rowe 424 Town Meeting adopted 11/16/10 7/1/2011
Rowley 6,161 Town Meeting adopted 6/22/20 7/1/2020
Royalston 1,250 Town Meeting adopted 10/27/17 1/1/2018
Rutland 9,049 Town Meeting adopted 5/12/18 7/1/2018
Salem 44,480 City Council adopted 5/13/10 1/1/2011
Salisbury 9,236 Town Meeting adopted 5/16/16 1/1/2017
Sandisfield 989 Town Meeting adopted 10/16/18 1/1/2019
Sandwich 20,259 Town Meeting adopted 11/14/22 1/1/2023
Saugus 28,619 Town Meeting adopted 3/23/15 1/1/2016
Scituate 19,063 Town Meeting adopted 11/8/10 7/1/2011
Seekonk 15,531 Town Meeting adopted 11/13/17 1/1/2019
Sharon 18,575 Town Meeting adopted 5/1/17 7/1/2017
Shelburne 1,884 Town Meeting adopted 9/18/17 1/1/2018
Sherborn 4,401 Town Meeting adopted 4/28/11 1/1/2012
Shirley 7,431 Town Meeting adopted 11/7/11 7/1/2012
Shrewsbury 38,325 Town Meeting adopted 9/6/17 1/1/2018
Shutesbury 1,717 Town Meeting adopted 10/26/10 7/1/2011
Somerville 81,045 Board of Aldermen adopted 6/9/11 1/1/2012
South Hadley 18,150 Town Meeting adopted 5/10/17 7/1/2017
Southampton 6,224 Town Meeting adopted 5/17/16 1/1/2017
Southborough 10,450 Town Meeting adopted 4/12/16 1/1/2017
Southbridge 17,740 Town Meeting adopted 10/3/16 1/1/2017
Southwick 9,232 Town Meeting adopted 5/18/21 7/1/2021
Spencer 11,992 Town Meeting adopted 11/27/18 7/1/2019
Springfield 155,929 City Council adopted 3/01/10 1/1/2011
Stockbridge 2,018 Town Meeting adopted 5/16/11 1/1/2012
Stoneham 23,244 Town Meeting adopted 5/1/17 7/1/2017
Stoughton 29,281 Town Meeting adopted 6/16/14 7/1/2015
Stow 7,174 Town Meeting adopted 5/4/15 1/1/2016
Sturbridge 9,867 Town Meeting adopted 6/4/18 1/1/2019
Sudbury 18,934 Town Meeting adopted 4/6/10 1/1/2011
Sunderland 3,663 Town Meeting adopted 4/27/12 1/1/2013
Sutton 9,357 Town Meeting adopted 5/9/11 1/1/2012
Swampscott 15,111 Town Meeting adopted 5/3/10 1/1/2011
Templeton 8,149 Town Meeting adopted 10/18/18 7/1/2019
Tewksbury 31,342 Town Meeting adopted 5/4/11 1/1/2012
Tisbury 4,815 Town Meeting adopted 4/12/11 1/1/2012
Tolland 471 Town Meeting adopted 10/28/19 1/1/2020
Topsfield 6,569 Town Meeting adopted 5/3/11 1/1/2012
Townsend 9,127 Town Meeting adopted 11/15/11 7/1/2012
